a,b,theta,E,E_p,E_t,machine_type,status,file_name
5.8,8.5,58.5,-39.78783630859107,-5.42536988388747,-7.234274135204032,1,Done,BTBT_theta=58.5_a=5.8_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.8,8.1,59.0,-40.11491962103173,-5.33774438733235,-7.359857711591758,2,Done,BTBT_theta=59.0_a=5.8_b=8.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.0,3.9,60.5,-29.47189821442589,-10.450608016224578,-2.142670545494184,1,Done,BTBT_theta=60.5_a=13.0_b=3.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.9,8.1,58.0,-40.28225143905729,-5.38323258724995,-7.378946566139348,2,Done,BTBT_theta=58.0_a=5.9_b=8.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.4,59.5,-39.64187748450786,-5.1334396817255765,-7.343749530264176,2,Done,BTBT_theta=59.5_a=6.0_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.1,4.2,59.5,-29.522789275739346,-10.11628951318562,-2.3225525623420253,1,Done,BTBT_theta=59.5_a=13.1_b=4.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.8,8.2,59.0,-40.25947282463312,-5.33774438733235,-7.395996012492105,2,Done,BTBT_theta=59.0_a=5.8_b=8.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.9,8.3,58.5,-40.33703306084499,-5.344245390733704,-7.412135569844395,1,Done,BTBT_theta=58.5_a=5.9_b=8.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.0,4.1,60.5,-30.038715447764844,-10.4775658454746,-2.2708959392039105,1,Done,BTBT_theta=60.5_a=13.0_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.1,58.0,-40.33750996924937,-5.206293592462316,-7.481230696081184,2,Done,BTBT_theta=58.0_a=6.0_b=8.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.5,59.5,-39.09589358326048,-5.1334396817255765,-7.207253554952331,2,Done,BTBT_theta=59.5_a=6.0_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.8,8.3,59.0,-40.205155559349805,-5.33774438733235,-7.382416696171276,2,Done,BTBT_theta=59.0_a=5.8_b=8.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
