a,b,theta,E,E_p,E_t,machine_type,status,file_name
3.8,12.2,26.0,-34.722098681144416,-10.783953878097236,-3.288547731237486,1,Done,BTBT_theta=26.0_a=3.8_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.0,25.5,-27.9947898760438,-1.1911834080237895,-6.403105764999054,2,Done,BTBT_theta=25.5_a=6.4_b=9.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.2,26.0,-27.69652182189748,-1.2138867194298657,-6.3171870957594365,1,Done,BTBT_theta=26.0_a=6.4_b=9.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.6,6.2,25.5,-39.32718121772632,-4.31022813776508,-7.67668123554904,2,Done,BTBT_theta=25.5_a=7.6_b=6.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,6.4,26.0,-39.4782605250366,-4.28545404295437,-7.726838109781966,1,Done,BTBT_theta=26.0_a=7.7_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.2,25.5,-35.46667694719508,-10.99252565181814,-3.3704064108897,2,Done,BTBT_theta=25.5_a=3.9_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,9.0,25.5,-27.97085664328188,-1.0782755333930254,-6.453576394123957,2,Done,BTBT_theta=25.5_a=6.5_b=9.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.2,26.0,-35.51992744579911,-10.977747791446744,-3.3911079657264054,1,Done,BTBT_theta=26.0_a=3.9_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,9.0,26.0,-27.966351121664047,-1.3418234584387392,-6.320676051196642,1,Done,BTBT_theta=26.0_a=6.3_b=9.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,6.2,25.5,-39.525725381914526,-4.31022813776508,-7.726317276596092,2,Done,BTBT_theta=25.5_a=7.7_b=6.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.2,25.5,-35.42705596610904,-10.785190072609112,-3.4641689552227035,2,Done,BTBT_theta=25.5_a=4.0_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.8,6.2,26.0,-39.63912898907438,-4.409324516775087,-7.7051199888810515,1,Done,BTBT_theta=26.0_a=7.8_b=6.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,9.1,25.5,-27.719576539471745,-1.0782755333930254,-6.390756368171424,2,Done,BTBT_theta=25.5_a=6.5_b=9.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.2,26.0,-35.52935264632106,-10.804222451057283,-3.480226936051622,1,Done,BTBT_theta=26.0_a=4.0_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.0,26.0,-28.08836416574195,-1.2138867194298657,-6.415147681720555,1,Done,BTBT_theta=26.0_a=6.4_b=9.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.8,6.2,25.5,-39.49685992160812,-4.31022813776508,-7.71910091151949,2,Done,BTBT_theta=25.5_a=7.8_b=6.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
